Parameter,Value,name,mcs ( in DL),retx (# of retransmissions requested by the UE),txok (# of successful transmissions),"bit rate (average bitrate (at the MAC layer), in bits per second in DL)",snr,mcs (UL),rxko (# of retransmissions requested by the gNB),rxok (# of received uplink transport blocks without error),bitrate UL(mbps),# of iterations of the†LDPC decoder
CenterFrequency,507000,CenterFrequency507000,20.5,22,2421,81.30,11.6,11.4,1,200,0.143,2.5
CenterFrequency,507000,CenterFrequency507000,18.3,28,2634,81.90,10.9,10.8,4,218,0.156,2.4
CenterFrequency,507000,CenterFrequency507000,19.8,63,2514,82.00,11.5,10.5,1,207,0.142,2.2
CenterFrequency,507000,CenterFrequency507000,20.2,25,2345,82.30,11.4,10.9,2,197,0.138,2.3
CenterFrequency,507000,CenterFrequency507000,20.1,35,2452,82.30,12.8,10.9,2,206,0.141,2.5
CenterFrequency,507000,CenterFrequency507000,20.7,33,2410,82.30,11.4,10.8,3,202,0.161,2.4
CenterFrequency,507000,CenterFrequency507000,20.6,33,2313,82.40,11.9,10.7,4,195,0.128,2.2
CenterFrequency,507000,CenterFrequency507000,19.7,26,2519,82.40,12.6,10,0,212,0.145,1.9
CenterFrequency,507000,CenterFrequency507000,21.2,26,2346,82.70,16.1,11.8,2,195,0.143,2.6
CenterFrequency,507000,CenterFrequency507000,20.9,24,2431,82.70,15.2,10.7,2,209,0.155,2.3
CenterFrequency,507000,CenterFrequency507000,19.1,33,2463,82.90,12.8,10.7,0,206,0.137,2.2
CenterFrequency,507000,CenterFrequency507000,19.7,32,2550,83.10,11.4,10.5,4,213,0.147,2.3
CenterFrequency,507000,CenterFrequency507000,21,61,2438,83.10,14.4,10.9,2,222,0.147,2.3
CenterFrequency,507000,CenterFrequency507000,20.8,29,2504,83.10,11.3,10.6,0,221,0.152,2.2
CenterFrequency,507000,CenterFrequency507000,19.5,43,2570,83.20,14.2,10.8,3,220,0.15,2.5
CenterFrequency,507000,CenterFrequency507000,18.5,36,2641,83.30,9.5,10.7,4,221,0.157,2.3
CenterFrequency,507000,CenterFrequency507000,21.5,22,2312,83.40,13,11.2,1,190,0.142,2.3
CenterFrequency,507000,CenterFrequency507000,20.6,34,2386,83.60,13.3,10.4,1,189,0.138,2.2
CenterFrequency,507000,CenterFrequency507000,19.4,34,2522,83.60,15,11.1,2,208,0.156,2.4
CenterFrequency,507000,CenterFrequency507000,18.9,29,2510,83.70,13.1,10.7,0,203,0.139,2.2
CenterFrequency,507000,CenterFrequency507000,20.3,22,2446,83.70,13.5,10.6,2,205,0.16,2.1
CenterFrequency,507000,CenterFrequency507000,20.8,47,2375,83.80,11.6,10.8,0,193,0.141,2.2
CenterFrequency,507000,CenterFrequency507000,20.4,31,2347,83.80,12.1,10.7,1,201,0.15,2.3
CenterFrequency,507000,CenterFrequency507000,20.6,27,2494,83.90,14.8,11,1,201,0.149,2.3
CenterFrequency,507000,CenterFrequency507000,19.7,36,2470,83.90,10.7,10.6,1,199,0.156,2.3
CenterFrequency,507000,CenterFrequency507000,18.7,44,2632,83.90,12,10.4,1,215,0.169,2.1
CenterFrequency,507000,CenterFrequency507000,19.8,51,2535,84.10,12.8,10.8,2,218,0.161,2.2
CenterFrequency,507000,CenterFrequency507000,19.1,37,2552,84.30,13,10.6,1,203,0.145,2.2
CenterFrequency,507000,CenterFrequency507000,19.4,50,2480,84.40,11.8,11,3,199,0.15,2.4
CenterFrequency,507000,CenterFrequency507000,19.9,23,2584,84.40,12.1,10.4,1,218,0.16,2.1
CenterFrequency,507000,CenterFrequency507000,19.5,52,2509,84.60,12.4,10.4,0,207,0.15,2.1
CenterFrequency,507000,CenterFrequency507000,19.8,29,2577,84.60,14.7,10.9,2,214,0.154,2.3
CenterFrequency,507000,CenterFrequency507000,20.4,33,2453,84.60,11.8,10.8,3,204,0.155,2.2
CenterFrequency,507000,CenterFrequency507000,19.4,39,2578,84.70,10.2,10.6,4,208,0.139,2.3
CenterFrequency,507000,CenterFrequency507000,20.7,23,2480,84.80,12.1,10.7,3,208,0.149,2.3
CenterFrequency,507000,CenterFrequency507000,19.4,57,2487,84.90,14,10.9,3,202,0.143,2.4
CenterFrequency,507000,CenterFrequency507000,19.4,44,2507,84.90,13.9,10.7,2,201,0.149,2.2
CenterFrequency,507000,CenterFrequency507000,18.3,47,2615,85.10,14.2,10.8,4,204,0.158,2.4
CenterFrequency,507000,CenterFrequency507000,21,31,2323,85.20,12.7,10.9,3,191,0.137,2.3
CenterFrequency,507000,CenterFrequency507000,20.2,25,2494,85.20,14.8,11.2,1,210,0.162,2.3
CenterFrequency,507000,CenterFrequency507000,18.4,46,2615,85.30,11,10.6,3,211,0.159,2.3
CenterFrequency,507000,CenterFrequency507000,19.6,51,2492,85.40,13.7,10.4,1,208,0.151,2.1
CenterFrequency,507000,CenterFrequency507000,19.7,45,2547,85.40,9.8,10.5,1,212,0.162,2.2
CenterFrequency,507000,CenterFrequency507000,19.2,86,2525,85.50,14.1,10.8,1,203,0.15,2.3
CenterFrequency,507000,CenterFrequency507000,18.9,27,2597,85.50,15.3,10.4,4,219,0.151,2.2
CenterFrequency,507000,CenterFrequency507000,18.5,60,2682,85.50,12.4,10.9,1,216,0.16,2.4
CenterFrequency,507000,CenterFrequency507000,20.5,27,2537,85.60,10.8,10.8,5,211,0.151,2.3
CenterFrequency,507000,CenterFrequency507000,19.2,41,2611,85.70,14,10.6,4,213,0.151,2.3
CenterFrequency,507000,CenterFrequency507000,18.8,46,2626,85.70,12,11,3,217,0.164,2.5
CenterFrequency,507000,CenterFrequency507000,19.6,41,2565,85.80,13.7,10.8,3,205,0.164,2.3
CenterFrequency,507000,CenterFrequency507000,20.2,32,2502,86.00,13.5,11.4,2,200,0.14,2.6
CenterFrequency,507000,CenterFrequency507000,20.8,32,2506,86.00,10.7,10.4,3,212,0.142,2.3
CenterFrequency,507000,CenterFrequency507000,19.5,33,2600,86.10,14.1,10.7,1,209,0.143,2.2
CenterFrequency,507000,CenterFrequency507000,19.4,53,2532,86.10,11.1,10.6,0,200,0.15,2.2
CenterFrequency,507000,CenterFrequency507000,18.7,53,2681,86.10,13.7,10.5,4,221,0.16,2.2
CenterFrequency,507000,CenterFrequency507000,19.8,34,2518,86.20,12,10.6,3,203,0.149,2.4
CenterFrequency,507000,CenterFrequency507000,19,50,2571,86.20,13.1,10.5,1,209,0.156,2.3
CenterFrequency,507000,CenterFrequency507000,19.4,61,2632,86.20,14.8,10.4,0,219,0.158,2.1
CenterFrequency,507000,CenterFrequency507000,18.9,34,2646,86.20,13.7,10.7,2,226,0.176,2.3
CenterFrequency,507000,CenterFrequency507000,19,45,2613,86.40,15,11,0,210,0.154,2.4
CenterFrequency,507000,CenterFrequency507000,20,30,2562,86.50,15.5,11.1,5,209,0.152,2.4
CenterFrequency,507000,CenterFrequency507000,19.8,39,2541,86.50,14.2,11.1,2,216,0.157,2.3
CenterFrequency,507000,CenterFrequency507000,19.1,35,2565,86.60,11.8,10.5,5,201,0.14,2.3
CenterFrequency,507000,CenterFrequency507000,19.8,31,2529,86.60,15.4,10.7,3,205,0.157,2.4
CenterFrequency,507000,CenterFrequency507000,20.8,28,2457,86.70,14.3,10.9,1,203,0.14,2.3
CenterFrequency,507000,CenterFrequency507000,20.9,33,2501,86.70,14.3,10.7,2,215,0.148,2.3
CenterFrequency,507000,CenterFrequency507000,21,19,2476,86.80,15.3,11.4,1,206,0.146,2.4
CenterFrequency,507000,CenterFrequency507000,19.6,24,2551,86.80,14.8,10.7,1,207,0.149,2.2
CenterFrequency,507000,CenterFrequency507000,21.1,46,2288,86.90,12.1,10.5,0,188,0.127,2
CenterFrequency,507000,CenterFrequency507000,21.1,26,2407,86.90,13,11.1,0,197,0.139,2.3
CenterFrequency,507000,CenterFrequency507000,19.2,24,2591,87.10,14,10.6,0,213,0.156,2.2
CenterFrequency,507000,CenterFrequency507000,20,23,2562,87.20,11.8,11,3,207,0.151,2.3
CenterFrequency,507000,CenterFrequency507000,21.2,35,2314,87.20,11,11.2,3,201,0.153,2.4
CenterFrequency,507000,CenterFrequency507000,18.5,47,2679,87.20,12.2,10.6,2,207,0.154,2.2
CenterFrequency,507000,CenterFrequency507000,19.1,36,2608,87.20,14.1,11,2,215,0.154,2.3
CenterFrequency,507000,CenterFrequency507000,20.5,29,2548,87.20,15.3,11,2,225,0.17,2.3
CenterFrequency,507000,CenterFrequency507000,22,21,2390,87.30,10.9,11.5,2,204,0.141,2.4
CenterFrequency,507000,CenterFrequency507000,19.7,44,2564,87.30,10.7,10.6,2,212,0.148,2.3
CenterFrequency,507000,CenterFrequency507000,20.3,34,2540,87.30,11.8,10.9,4,213,0.15,2.3
CenterFrequency,507000,CenterFrequency507000,18.9,63,2615,87.30,10.7,10.7,1,219,0.154,2.2
CenterFrequency,507000,CenterFrequency507000,21,25,2586,87.30,16.4,11.6,2,224,0.159,2.4
CenterFrequency,507000,CenterFrequency507000,19.1,30,2593,87.40,11.4,11,1,202,0.14,2.3
CenterFrequency,507000,CenterFrequency507000,19.8,35,2584,87.40,12.1,10.5,1,221,0.159,2.2
CenterFrequency,507000,CenterFrequency507000,20.1,35,2551,87.50,14.3,10.9,2,209,0.177,2.3
CenterFrequency,507000,CenterFrequency507000,20.5,28,2587,87.60,12.1,10.9,1,218,0.161,2.3
CenterFrequency,507000,CenterFrequency507000,19.9,39,2594,87.70,14.8,11,3,221,0.165,2.3
CenterFrequency,507000,CenterFrequency507000,19.8,25,2561,88.00,14.4,10.8,2,210,0.156,2.3
CenterFrequency,507000,CenterFrequency507000,20,33,2595,88.00,10.3,10.5,1,222,0.164,2.3
CenterFrequency,507000,CenterFrequency507000,20.8,35,2498,88.00,13.6,11.1,1,220,0.173,2.3
CenterFrequency,507000,CenterFrequency507000,21.3,27,2333,88.20,13.8,10.6,3,185,0.132,2.2
CenterFrequency,507000,CenterFrequency507000,20.6,25,2509,88.20,12,10.9,0,209,0.147,2.2
CenterFrequency,507000,CenterFrequency507000,19.4,43,2575,88.20,14.5,11.3,5,206,0.176,2.6
CenterFrequency,507000,CenterFrequency507000,19.4,35,2597,88.30,12.3,11.1,1,213,0.151,2.4
CenterFrequency,507000,CenterFrequency507000,20.7,29,2469,88.30,13.2,11.1,1,202,0.151,2.4
CenterFrequency,507000,CenterFrequency507000,20.7,28,2533,88.30,14,11.3,2,216,0.16,2.4
CenterFrequency,507000,CenterFrequency507000,19.2,37,2603,88.40,13.9,11.1,3,203,0.148,2.5
CenterFrequency,507000,CenterFrequency507000,20.2,25,2535,88.40,13.2,10.5,2,212,0.155,2.2
CenterFrequency,507000,CenterFrequency507000,18.7,43,2680,88.40,12.3,10.7,3,215,0.158,2.4
CenterFrequency,507000,CenterFrequency507000,20,40,2635,88.60,14.3,11,3,216,0.155,2.3
CenterFrequency,507000,CenterFrequency507000,20.1,32,2578,88.60,13.3,11.2,1,217,0.161,2.4
CenterFrequency,507000,CenterFrequency507000,20.1,32,2546,88.70,11.7,10.5,4,194,0.13,2.2
CenterFrequency,507000,CenterFrequency507000,20.9,34,2449,88.90,14.9,10.5,2,199,0.15,2
CenterFrequency,507000,CenterFrequency507000,18.1,38,2776,88.90,11.3,10.8,1,223,0.152,2.3
CenterFrequency,507000,CenterFrequency507000,20.1,33,2570,89.00,11.7,10.8,2,210,0.147,2.3
CenterFrequency,507000,CenterFrequency507000,18.9,50,2700,89.00,13.7,10.9,3,212,0.156,2.3
CenterFrequency,507000,CenterFrequency507000,19.7,38,2575,89.10,12.9,10.9,3,205,0.142,2.4
CenterFrequency,507000,CenterFrequency507000,19.6,35,2620,89.10,15.2,10.6,2,208,0.147,2.3
CenterFrequency,507000,CenterFrequency507000,20.6,17,2539,89.30,15.1,11.2,0,213,0.15,2.3
CenterFrequency,507000,CenterFrequency507000,21.2,39,2476,89.30,12,11,2,214,0.158,2.4
CenterFrequency,507000,CenterFrequency507000,20.9,25,2564,89.50,11.4,11.5,2,214,0.149,2.5
CenterFrequency,507000,CenterFrequency507000,21,20,2532,89.60,10.7,10.8,4,200,0.155,2.2
CenterFrequency,507000,CenterFrequency507000,20.6,21,2550,89.70,13.5,11,2,222,0.161,2.3
CenterFrequency,507000,CenterFrequency507000,18.9,40,2734,89.80,11.2,11.1,2,227,0.158,2.3
CenterFrequency,507000,CenterFrequency507000,18.5,45,2741,89.90,13.3,10.4,2,214,0.15,2.2
CenterFrequency,507000,CenterFrequency507000,20.3,24,2571,90.00,14.7,10.9,0,216,0.163,2.3
CenterFrequency,507000,CenterFrequency507000,21.5,22,2547,90.00,14.5,11.7,5,218,0.164,2.6
CenterFrequency,507000,CenterFrequency507000,21.7,39,2476,90.20,14.8,10.8,2,212,0.154,2.4
CenterFrequency,507000,CenterFrequency507000,22,27,2493,90.20,11.7,11.5,3,221,0.163,2.4
CenterFrequency,507000,CenterFrequency507000,19,51,2709,90.30,14.8,10.7,1,220,0.157,2.3
CenterFrequency,507000,CenterFrequency507000,20.9,21,2526,90.40,14.6,11,1,204,0.143,2.4
CenterFrequency,507000,CenterFrequency507000,20.6,51,2554,90.40,13.1,11.4,3,217,0.157,2.5
CenterFrequency,507000,CenterFrequency507000,22.4,24,2424,90.40,13.4,11.1,3,214,0.16,2.4
CenterFrequency,507000,CenterFrequency507000,18.8,30,2733,90.40,13.7,10.6,1,232,0.164,2.2
CenterFrequency,507000,CenterFrequency507000,22.2,27,2422,90.50,15.4,11.8,4,215,0.164,2.5
CenterFrequency,507000,CenterFrequency507000,21.1,25,2502,90.60,13.8,11,2,213,0.146,2.4
CenterFrequency,507000,CenterFrequency507000,18.7,35,2707,90.60,12.5,10.2,1,217,0.151,2
CenterFrequency,507000,CenterFrequency507000,20,31,2652,90.70,9.7,10.7,3,224,0.155,2.2
CenterFrequency,507000,CenterFrequency507000,19.6,37,2637,90.80,14.1,10.8,3,218,0.16,2.4
CenterFrequency,507000,CenterFrequency507000,21.4,26,2478,90.80,12.8,11.9,5,214,0.165,2.5
CenterFrequency,507000,CenterFrequency507000,18.8,40,2761,90.90,12.7,10.7,3,228,0.159,2.5
CenterFrequency,507000,CenterFrequency507000,20,36,2619,90.90,12,10.9,0,229,0.166,2.3
CenterFrequency,507000,CenterFrequency507000,22.1,27,2487,90.90,12.5,11.5,2,213,0.173,2.4
CenterFrequency,507000,CenterFrequency507000,20.3,29,2530,91.00,11.2,9.8,0,200,0.143,1.7
CenterFrequency,507000,CenterFrequency507000,20.8,34,2564,91.00,14.8,11.5,5,221,0.159,2.5
CenterFrequency,507000,CenterFrequency507000,20.8,25,2538,91.10,11.9,10.8,1,209,0.14,2.4
CenterFrequency,507000,CenterFrequency507000,18.9,52,2739,91.20,10.3,10.8,2,211,0.145,2.4
CenterFrequency,507000,CenterFrequency507000,20.5,50,2572,91.20,15.9,10.5,2,213,0.149,2.2
CenterFrequency,507000,CenterFrequency507000,19.7,50,2626,91.20,16.2,10.5,4,216,0.151,2.2
CenterFrequency,507000,CenterFrequency507000,19.8,41,2627,91.30,12.6,10.2,0,230,0.156,2
CenterFrequency,507000,CenterFrequency507000,22,22,2502,91.30,13.1,11.6,1,216,0.156,2.5
CenterFrequency,507000,CenterFrequency507000,19.5,40,2653,91.40,13.5,10.5,2,206,0.151,2.2
CenterFrequency,507000,CenterFrequency507000,20.5,38,2602,91.60,14,10.8,2,219,0.156,2.2
CenterFrequency,507000,CenterFrequency507000,19.3,40,2695,92.00,11,10.3,0,218,0.15,2.1
CenterFrequency,507000,CenterFrequency507000,19,43,2722,92.00,12.3,10.7,4,232,0.163,2.3
CenterFrequency,507000,CenterFrequency507000,20.4,31,2566,92.10,14.7,10.6,1,205,0.134,2
CenterFrequency,507000,CenterFrequency507000,20.6,31,2599,92.10,13.8,11,1,218,0.151,2.3
CenterFrequency,507000,CenterFrequency507000,19.3,36,2709,92.20,8.9,10.8,6,224,0.177,2.4
CenterFrequency,507000,CenterFrequency507000,20.8,23,2595,92.30,12.8,10.8,1,219,0.148,2.3
CenterFrequency,507000,CenterFrequency507000,20.4,31,2616,92.30,13.4,11,2,224,0.153,2.4
CenterFrequency,507000,CenterFrequency507000,21.2,42,2547,92.30,12.2,11.1,2,222,0.156,2.3
CenterFrequency,507000,CenterFrequency507000,19.2,66,2698,92.30,9.8,10.6,2,224,0.159,2.3
CenterFrequency,507000,CenterFrequency507000,20.9,24,2589,92.40,14.7,11.8,6,211,0.149,2.6
CenterFrequency,507000,CenterFrequency507000,21.7,18,2389,92.40,11.4,11.3,4,198,0.15,2.4
CenterFrequency,507000,CenterFrequency507000,20.3,37,2609,92.90,12.1,10.6,2,216,0.151,2.2
CenterFrequency,507000,CenterFrequency507000,19.3,32,2709,93.00,14.5,11.1,2,219,0.151,2.4
CenterFrequency,507000,CenterFrequency507000,20.4,29,2631,93.10,12.2,10.8,2,219,0.16,2.2
CenterFrequency,507000,CenterFrequency507000,21.7,27,2556,93.40,14.8,11.1,1,235,0.16,2.4
CenterFrequency,507000,CenterFrequency507000,20.1,39,2625,93.60,12.8,11,1,193,0.155,2.4
CenterFrequency,507000,CenterFrequency507000,19.4,60,2687,93.70,17.4,10.4,2,219,0.149,2.2
CenterFrequency,507000,CenterFrequency507000,21.7,24,2564,93.70,14.4,11.1,0,213,0.15,2.3
CenterFrequency,507000,CenterFrequency507000,20.8,28,2580,93.80,11,10.4,4,206,0.146,2.2
CenterFrequency,507000,CenterFrequency507000,20.5,26,2659,94.30,14.8,11.8,3,218,0.159,2.6
CenterFrequency,507000,CenterFrequency507000,20.1,25,2674,94.30,14.7,11.2,3,215,0.16,2.5
CenterFrequency,507000,CenterFrequency507000,21.8,29,2562,94.60,16,11.2,4,228,0.166,2.4
CenterFrequency,507000,CenterFrequency507000,21.3,24,2611,94.70,11.2,11.3,1,228,0.154,2.4
CenterFrequency,507000,CenterFrequency507000,21.3,44,2618,94.90,14.9,10.9,2,223,0.15,2.4
CenterFrequency,507000,CenterFrequency507000,22.1,24,2571,95.00,14,11.7,2,216,0.159,2.5
CenterFrequency,507000,CenterFrequency507000,19.6,54,2747,95.20,12.5,10.9,1,211,0.153,2.3
CenterFrequency,507000,CenterFrequency507000,21.9,22,2554,95.30,15.5,11.6,0,221,0.161,2.4
CenterFrequency,507000,CenterFrequency507000,21.5,34,2608,95.30,10.8,11.2,3,220,0.162,2.3
CenterFrequency,507000,CenterFrequency507000,22.2,24,2532,95.40,13.4,10.8,0,217,0.16,2.3
CenterFrequency,507000,CenterFrequency507000,20.8,25,2630,95.50,13.3,9.8,2,220,0.161,1.8
CenterFrequency,507000,CenterFrequency507000,19.7,49,2719,95.60,9.8,10.9,0,218,0.147,2.3
CenterFrequency,507000,CenterFrequency507000,22,23,2543,95.70,14,11.1,3,206,0.151,2.5
CenterFrequency,507000,CenterFrequency507000,20,40,2724,95.80,11.5,10.9,1,223,0.167,2.3
CenterFrequency,507000,CenterFrequency507000,22.3,27,2495,96.00,14.9,11.4,4,208,0.15,2.4
CenterFrequency,507000,CenterFrequency507000,21.5,28,2586,96.20,12.6,10.9,2,209,0.148,2.4
CenterFrequency,507000,CenterFrequency507000,20.3,41,2698,96.60,15.8,10.4,1,223,0.156,2.1
CenterFrequency,507000,CenterFrequency507000,21.8,28,2603,97.20,14.2,11.7,3,214,0.16,2.5
CenterFrequency,507000,CenterFrequency507000,20.3,38,2702,97.70,14.8,10.6,2,219,0.154,2.1
CenterFrequency,507000,CenterFrequency507000,21.1,28,2648,97.80,11.2,11.6,1,218,0.154,2.5
CenterFrequency,507000,CenterFrequency507000,20.1,25,2748,97.90,14.6,10.7,3,228,0.169,2.3
CenterFrequency,507000,CenterFrequency507000,20.8,39,2703,98.10,13.8,9.8,0,230,0.161,1.8
CenterFrequency,507000,CenterFrequency507000,22.1,25,2540,98.50,15.7,10.8,0,209,0.15,2
CenterFrequency,507000,CenterFrequency507000,20.1,64,2733,98.50,15.7,10.8,1,219,0.154,2.1
CenterFrequency,507000,CenterFrequency507000,20.9,33,2674,98.80,13.7,11.1,3,215,0.159,2.4
CenterFrequency,507000,CenterFrequency507000,20.7,34,2715,99.10,16.4,11.3,3,220,0.159,2.4
CenterFrequency,507000,CenterFrequency507000,20.9,27,2722,99.30,13.4,10.8,2,225,0.154,2.3
CenterFrequency,507000,CenterFrequency507000,20.7,43,2705,100.00,11.8,10.4,3,203,0.144,2.2
CenterFrequency,507000,CenterFrequency507000,22.6,25,2506,100.00,14.2,11.4,2,204,0.154,2.4
CenterFrequency,507000,CenterFrequency507000,20.9,37,2699,100.00,11.6,11.1,4,216,0.16,2.5
CenterFrequency,507000,CenterFrequency507000,20.9,29,2727,100.00,12,10.6,2,221,0.164,2.1
