


Save Time :2026-06-09 11:26:04
User Name :fmboma

Date,Whole Network,Integrity,Radio Net Availability Rate(%),RRC Setup Success Rate(all),RRC Setup Success Rate(Service)[%],RRC Setup Success Rate(Signal)[%],E-RAB Setup Success Rate (ALL)(%),Call Drop Rate (All)(%),HO Success Rate(Intra Freqency),HO Success Rate(S1)[%],L.Traffic.User.Avg,L.Traffic.User.Max,DL Traffic Volume(Gbit),UL Traffic Volume(Gbit),Total Traffic (Gbit),User DL PDCP Average Throughput,User UL PDCP Average Throughput,Paging Transfer Success Rate,DL IBLER[%],UL IBLER[%],DL ReTrans Rate[%],DL Packet Loss Rate(all),UL Packet Loss Rate(all),DL PRB Usage Rate(%),UL PRB Usage Rate(%),PUCCHUsage Rate[%],PDCCH CCE Usage Rate[%],Average CQI,Average PDSCH MCS
2026-04-27,Whole Network,100%,97.9206,98.9018,99.7217,95.8292,99.3359,1.5794,99.5878,94.6757,30993.2073,45390,44734.9649,4640.166,49375.1309,6.3518,3.3734,99.9976,14.6327,7.4141,0.1763,0,0,36.3929,50.3675,7748.3033,25.6755,10.4501,13.2396
2026-04-28,Whole Network,100%,97.6011,98.922,99.7677,95.7467,99.3476,1.5925,99.618,94.8241,30905.9857,45369,45171.6087,4653.8958,49825.5046,6.1858,3.3765,99.9791,14.5969,7.4315,0.1763,0,0,36.9028,50.2132,7726.4959,26.0922,10.4639,13.2093
2026-04-29,Whole Network,100%,96.9622,98.4965,99.5056,94.7711,98.9796,1.6806,99.6133,95.3156,31516.195,46995,43984.6977,4695.3876,48680.0853,6.1599,3.4202,99.9869,14.8863,7.6521,0.1808,0,0.0001,36.8473,50.423,7879.049,26.2287,10.4187,13.0513
2026-04-30,Whole Network,100%,97.3558,98.3722,99.6708,93.8103,99.3048,1.7082,99.6261,95.7211,31513.3427,46234,44639.2471,4634.7494,49273.9965,6.172,3.3379,99.999,14.7838,7.5912,0.1795,0,0,36.3185,50.1333,7878.3353,26.0574,10.4285,13.1787
2026-05-01,Whole Network,100%,97.2789,98.9025,99.7062,96.3173,99.2854,1.9503,99.5702,96.4107,32902.9641,47126,47584.645,4989.6666,52574.3116,5.9206,3.4374,100.0005,14.7781,7.5279,0.1777,0,0,38.5437,50.7692,8225.7407,26.8607,10.4171,13.2169
2026-05-02,Whole Network,100%,97.1808,98.8714,99.6929,96.0636,99.3192,1.7941,99.5759,95.8635,31429.5214,45918,45737.3725,4856.4063,50593.7787,6.3598,3.4633,99.9387,14.6776,7.4314,0.1773,0,0,36.8134,50.7021,7857.38,25.964,10.4365,13.1142
2026-05-03,Whole Network,100%,97.6359,98.9209,99.7121,96.1479,99.4342,1.5504,99.5595,94.9518,30838.7125,45152,46741.9701,4658.2218,51400.1919,6.2679,3.4508,99.9798,14.7068,7.6097,0.1786,0,0,38.0179,50.1128,7709.6782,25.8827,10.3988,12.9265
2026-05-04,Whole Network,100%,97.6949,98.7077,99.6093,95.6252,99.2433,1.8249,99.5253,95.8252,31100.747,45463,45537.4712,4831.0164,50368.4875,6.3155,3.4537,100.0018,14.7058,7.5373,0.1781,0,0,37.1383,50.6248,7775.1868,26.2513,10.415,13.1019
2026-05-05,Whole Network,100%,98.682,98.8653,99.7134,95.9348,99.3336,1.7718,99.6046,95.2658,31934.6817,46497,46604.3211,4811.4563,51415.7775,6.3044,3.3867,99.9976,14.6322,7.5112,0.1768,0,0,37.4414,50.348,7983.6708,26.1716,10.4222,13.1949
2026-05-06,Whole Network,100%,98.9752,98.818,99.7167,95.6772,99.3402,1.7763,99.5439,95.1989,31821.9203,46235,46821.253,4822.4376,51643.6906,6.1064,3.3451,99.962,14.6517,7.4957,0.1767,0,0,37.733,50.6122,7955.4794,26.3899,10.3962,13.1674
2026-05-07,Whole Network,100%,99.3974,98.8004,99.7106,95.5272,99.2473,1.8613,99.5929,94.8654,31174.9775,45187,33360.7004,4399.0001,37759.7005,6.7802,3.0566,100.001,15.0835,7.2111,0.1815,0,0,27.4318,49.7834,7793.7456,23.8299,10.6316,13.5824
2026-05-08,Whole Network,100%,98.0931,98.7901,99.6865,95.5668,99.3094,1.6774,99.575,95.2766,31260.3627,45406,46491.0045,4805.7625,51296.767,6.1799,3.3758,99.9984,14.7023,7.4666,0.1774,0,0,37.7669,50.5598,7815.0916,26.3915,10.392,13.2217
2026-05-09,Whole Network,100%,98.7545,98.7648,99.6848,95.5715,99.2681,1.8472,99.5827,95.1727,31468.545,46231,45502.2711,4747.1905,50249.4615,6.5326,3.4609,99.908,14.8653,7.6175,0.1805,0,0,36.468,50.367,7867.1369,25.5482,10.3878,12.9978
2026-05-10,Whole Network,100%,99.4441,98.918,99.6993,96.0272,99.4082,1.5196,99.6025,94.9664,30832.953,45310,45508.1137,4668.67,50176.7837,6.6212,3.4009,100.001,14.8404,7.6714,0.1806,0,0,36.3793,50.1822,7708.2368,25.3502,10.3757,12.9355
2026-05-11,Whole Network,100%,98.7628,98.8753,99.7083,95.9021,99.2998,1.7567,99.5684,94.6017,30905.1958,45331,44551.9332,4715.4698,49267.4029,6.784,3.487,99.9828,14.7122,7.5286,0.1785,0,0,35.8116,50.0895,7726.2993,25.3809,10.4129,13.0854
2026-05-12,Whole Network,100%,99.4567,98.8736,99.6788,95.7762,99.3347,1.7,99.5449,94.9213,31026.218,45398,41083.2016,4372.6336,45455.8352,7.1254,3.3763,99.9663,14.7424,7.4716,0.1795,0,0,33.5007,49.6958,7756.5557,24.5721,10.4757,12.9863
2026-05-13,Whole Network,100%,99.8197,98.82,99.7228,95.3444,99.3276,1.5999,99.501,95.834,30213.7064,44198,41547.0079,4357.3059,45904.3138,7.2131,3.325,99.9123,14.6896,7.2359,0.1779,0,0,33.5388,49.5878,7553.4255,24.4236,10.4757,13.0829
2026-05-14,Whole Network,100%,98.221,98.9166,99.7099,95.6439,99.3727,1.5598,99.5573,95.6227,30344.9055,44725,41648.6429,4402.0454,46050.6883,7.0434,3.4366,100.0003,14.6628,7.2575,0.1778,0,0,33.8926,49.8424,7586.2251,24.5436,10.4757,13.0444
2026-05-15,Whole Network,100%,99.3698,98.8406,99.6813,95.3947,99.3098,1.6541,99.5686,95.1746,30061.7498,44201,41008.1082,4436.5878,45444.696,6.9959,3.4519,100.0004,14.7453,7.31,0.1792,0,0.0001,33.3108,49.5903,7515.437,24.2219,10.4581,13.0298
2026-05-16,Whole Network,100%,99.829,98.8387,99.7123,95.2682,99.324,1.6322,99.5131,95.7323,31497.139,45968,48768.9069,4829.4745,53598.3814,6.4774,3.4231,99.9888,14.8882,7.4538,0.1797,0,0.0001,39.4864,50.6603,7874.2847,26.2325,10.3014,12.8826
2026-05-17,Whole Network,100%,99.8221,98.9029,99.7306,95.4515,99.3865,1.3895,99.5536,95.2809,31143.5931,45688,47729.0779,4932.8375,52661.9154,6.6391,3.4707,99.9616,14.7601,7.4344,0.1783,0,0,37.9425,50.7019,7785.8965,25.5989,10.3619,12.9297
2026-05-18,Whole Network,100%,99.7207,98.8818,99.7106,95.5977,99.3162,1.6613,99.5781,94.5716,30894.3628,45230,41227.9765,4467.975,45695.9515,7.4551,3.3998,99.9905,14.6399,7.237,0.1773,0,0,33.0564,50.2106,7723.5905,24.2269,10.5059,13.0636
2026-05-19,Whole Network,100%,99.5392,98.7893,99.6838,95.9565,99.2455,2.0094,99.5381,95.4495,30941.1462,45154,40475.9168,4429.7066,44905.6235,6.9515,3.3323,99.9995,14.8695,7.3215,0.1819,0,0,33.0647,49.8739,7735.2937,24.5024,10.475,12.9517
2026-05-20,Whole Network,100%,99.169,98.6492,99.5761,95.5412,99.1262,1.9434,99.5534,95.7924,31446.9654,45832,41115.8566,4391.9892,45507.8457,7.2056,3.2605,99.9692,14.8562,7.4024,0.181,0,0,33.3132,49.949,7861.7397,24.5585,10.4726,13.0383
2026-05-21,Whole Network,100%,99.8224,98.8837,99.7278,95.2756,99.3769,1.6701,99.5701,95.4546,30865.6283,45204,41397.7634,4453.5066,45851.27,7.2495,3.3301,99.9365,14.7797,7.3592,0.1801,0,0,33.2661,50.2681,7716.4055,24.4219,10.4762,13.0255
2026-05-22,Whole Network,100%,99.8285,98.7711,99.7073,94.4927,99.273,1.6523,99.6123,95.9761,28994.5613,43046,42605.8044,4511.5664,47117.3708,6.9014,3.3269,99.9868,14.8016,7.3805,0.1806,0,0.0001,34.3613,49.8312,7248.6423,24.6978,10.4394,12.9878
2026-05-23,Whole Network,100%,99.8055,98.7424,99.7134,94.3111,99.2843,1.6225,99.5892,95.9754,30136.327,44489,49155.4798,4783.2059,53938.6857,6.5568,3.3141,99.9945,14.8665,7.4458,0.1804,0,0.0001,39.4296,50.472,7534.083,26.2986,10.3112,12.9316
2026-05-24,Whole Network,100%,99.43,98.7036,99.6647,94.2046,99.3122,1.542,99.5742,95.9193,29318.0663,43547,47669.5712,4743.1265,52412.6977,6.3469,3.3083,99.9674,14.8576,7.4541,0.1794,0,0,38.8898,50.1809,7329.5171,26.0076,10.3319,12.8422
2026-05-25,Whole Network,100%,99.8299,98.6754,99.6887,93.9696,99.2229,1.6893,99.5962,95.7393,32512.1033,47107,53002.3077,5325.0432,58327.3508,5.9263,3.3441,100.0016,14.862,7.4501,0.178,0,0,42.4093,51.4898,8128.0255,27.8635,10.2536,12.9476
2026-05-26,Whole Network,100%,99.8299,98.7454,99.6825,94.3917,99.2783,1.5689,99.6015,96.1869,28936.2192,42956,40281.1549,4614.9004,44896.0553,6.8263,3.3446,100.0011,14.7304,7.3039,0.1788,0,0,32.4934,50.2268,7234.0536,24.3365,10.4803,13.1267
2026-05-27,Whole Network,100%,99.28,98.542,99.7054,94.2037,99.2694,1.6887,99.5748,95.6498,29203.509,43515,38340.8171,4539.5897,42880.4068,6.5971,3.265,99.9987,15.0515,7.5746,0.183,0,0,31.9374,50.1937,7300.8763,24.5525,10.5013,13.0988
2026-05-28,Whole Network,100%,99.8139,98.7531,99.691,94.356,99.0959,1.6907,99.5949,95.8311,29027.688,43219,39808.7199,4417.0004,44225.7203,6.7637,3.2365,99.9206,14.8646,7.3648,0.1806,0,0,32.2951,49.6183,7256.9218,24.0167,10.485,13.0787
2026-05-29,Whole Network,100%,99.8237,98.7349,99.7001,94.2454,99.219,1.6561,99.5995,95.5616,28639.0105,42698,40727.5449,4395.4909,45123.0358,6.6259,3.2235,99.9656,14.7144,7.2767,0.1782,0,0,32.9244,49.8703,7159.7533,24.2616,10.4705,13.2071
2026-05-30,Whole Network,100%,99.0783,98.7622,99.6961,94.395,99.2068,1.6462,99.6035,95.9002,29583.7443,44118,46666.3674,4817.8153,51484.1827,6.3844,3.3014,99.9941,14.8542,7.4134,0.1791,0,0,37.856,50.7601,7395.9369,25.8982,10.3397,12.9725
2026-05-31,Whole Network,100%,99.8285,98.7263,99.6889,94.1547,99.3048,1.3723,99.5317,96.2482,29179.0214,43406,45895.0406,4799.2097,50694.2503,6.4016,3.2678,99.9916,14.8042,7.4853,0.1782,0,0,36.994,50.53,7294.756,25.4681,10.3491,12.9853
2026-06-01,Whole Network,100%,99.5845,98.731,99.6673,94.3785,99.1966,1.6913,99.5959,95.8727,28897.7092,43113,41474.5473,4514.8104,45989.3577,6.8578,3.2361,99.9848,14.7224,7.2228,0.1777,0,0,33.4007,50.2109,7224.4284,24.4657,10.4456,13.1278
2026-06-02,Whole Network,100%,97.6038,98.5047,99.4912,94.0161,99.0137,1.7695,99.5821,95.5245,29119.8765,43181,40063.3549,4396.0029,44459.3578,6.9178,3.106,100.0004,14.7632,7.182,0.1787,0,0,32.775,50.2187,7279.9693,24.4663,10.4583,13.1206
2026-06-03,Whole Network,100%,99.5475,98.7868,99.7011,94.5823,99.1968,1.662,99.5716,95.577,29111.2679,43274,41651.709,4531.3268,46183.0358,6.6456,3.1185,99.9871,14.6516,7.1439,0.1764,0,0,33.7073,50.5003,7277.8169,24.7878,10.4366,13.1423
2026-06-04,Whole Network,100%,99.7923,98.6741,99.6295,94.2209,99.1807,1.6883,99.5925,96.2272,29150.9225,44578,40262.7769,4412.5771,44675.354,6.6088,3.0559,99.965,14.9153,7.2935,0.1807,0,0,33.1779,50.2882,7287.729,24.712,10.4451,12.9912
2026-06-05,Whole Network,100%,99.45,98.7508,99.6846,94.4138,99.1822,1.7096,99.5935,95.3687,29462.0229,43794,41863.7321,4544.2912,46408.0233,6.4612,3.0869,99.9816,14.8192,7.2851,0.1792,0,0,34.2131,50.4501,7365.5062,24.9817,10.4238,13.0527
2026-06-06,Whole Network,100%,99.4449,98.628,99.6751,93.8867,99.1535,1.7516,99.5935,96.1079,30324.1012,44976,47414.1112,4883.3386,52297.4498,6.4161,3.0903,99.997,14.9017,7.5454,0.1788,0,0,38.2668,51.2884,7581.0256,26.4155,10.3178,13.0775
2026-06-07,Whole Network,100%,99.0905,98.7247,99.685,94.1463,99.2663,1.5311,99.4948,95.52,29752.8746,44204,47836.053,4948.6306,52784.6836,6.2804,3.112,99.9953,14.8367,7.533,0.1778,0,0,38.3728,51.2472,7438.2186,26.0792,10.3359,13.0112
2026-06-08,Whole Network,100%,99.3176,98.7435,99.662,94.6042,99.2198,1.6596,99.5727,95.5768,29464.9112,43700,40992.0318,4597.2115,45589.2432,7.0641,3.0328,99.9787,14.8358,7.2431,0.179,0,0,33.0506,50.6319,7366.2271,24.6964,10.4887,13.1653
Total 62 Records
