Date,eNodeB Name,Cell FDD TDD Indication,Cell Name,LocalCell Id,eNodeB Function Name,Integrity,L.RA.TA.UE.Index0,L.RA.TA.UE.Index1,L.RA.TA.UE.Index10,L.RA.TA.UE.Index11,L.RA.TA.UE.Index2,L.RA.TA.UE.Index3,L.RA.TA.UE.Index4,L.RA.TA.UE.Index5,L.RA.TA.UE.Index6,L.RA.TA.UE.Index7,L.RA.TA.UE.Index8,L.RA.TA.UE.Index9,RACH Setup Success Rate(%)
2025-09-02,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_4,4,MSH0013-Bindura-Zaoga,100%,2573,348,0,0,2859,6777,63671,200844,69621,12231,0,0,0.3454
2025-09-02,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_3,3,MSH0013-Bindura-Zaoga,100%,44,218,0,0,1374,6045,1731,608,2,7,0,0,0.5006
2025-09-02,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_2,2,MSH0013-Bindura-Zaoga,100%,54,12,0,0,962,17032,27532,8054,707,153,0,0,0.3307
2025-09-02,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_1,1,MSH0013-Bindura-Zaoga,100%,1761,159,0,0,1481,3461,34204,112657,52727,7282,0,0,0.359
2025-09-02,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_6,6,MSH-0331-Chiwaridzo 2_LTE,95%,237,2476,0,0,8230,10468,9631,178,100,253,0,0,0.7481
2025-09-02,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_5,5,MSH-0331-Chiwaridzo 2_LTE,95%,774,3358,0,0,11516,6305,3610,4652,273,242,0,0,0.5229
2025-09-02,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_4,4,MSH-0331-Chiwaridzo 2_LTE,95%,1018,3626,0,0,18991,21837,11444,46,9,3,0,0,0.3688
2025-09-02,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_3,3,MSH-0331-Chiwaridzo 2_LTE,95%,337,5307,0,0,9544,10036,11552,138,81,120,0,0,0.757
2025-09-02,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_2,2,MSH-0331-Chiwaridzo 2_LTE,95%,1030,5168,0,0,11160,7703,4955,4847,14,87,0,0,0.6327
2025-09-02,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_1,1,MSH-0331-Chiwaridzo 2_LTE,95%,734,4383,0,0,37836,27326,11729,54,3,3,0,0,0.1424
2025-09-02,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_1,1,MSH-0112-Bindura Hospital_LTE,100%,75,720,0,0,1481,3228,1077,84455,212,217,0,0,0.9627
2025-09-02,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_2,2,MSH-0112-Bindura Hospital_LTE,100%,432,172,0,0,2078,10972,5765,54,13,3,0,0,0.7243
2025-09-02,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_3,3,MSH-0112-Bindura Hospital_LTE,100%,464,3009,0,0,15405,19880,5198,1344,1873,286,0,0,0.8102
2025-09-02,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_4,4,MSH-0112-Bindura Hospital_LTE,100%,39,486,0,0,511,3593,920,12055,296,318,0,0,0.8076
2025-09-02,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_5,5,MSH-0112-Bindura Hospital_LTE,100%,639,308,0,0,1255,8013,5747,87,15,3,0,0,0.3819
2025-09-02,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_6,6,MSH-0112-Bindura Hospital_LTE,100%,255,1879,0,0,13625,16428,4509,1400,991,491,0,0,0.7975
2025-09-02,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_6,6,MSH-0014-Chipadze,100%,74,604,0,0,1471,4146,6325,1238,615,81,0,0,0.018
2025-09-02,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_5,5,MSH-0014-Chipadze,100%,94,589,0,0,3810,6647,12337,5525,2444,378,0,0,0.2851
2025-09-02,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_4,4,MSH-0014-Chipadze,100%,128,1627,0,0,4192,3193,8792,140,2,6,0,0,0.518
2025-09-02,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_3,3,MSH-0014-Chipadze,100%,73,616,0,0,2867,4681,8756,832,500,81,0,0,0.4235
2025-09-02,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_2,2,MSH-0014-Chipadze,100%,435,721,0,0,4797,5002,12429,5545,1756,236,0,0,0.3751
2025-09-02,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_1,1,MSH-0014-Chipadze,100%,90,813,0,0,4874,2958,8871,299,1,5,0,0,0.6494
2025-09-03,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_6,6,MSH0013-Bindura-Zaoga,100%,75,186,0,0,407,5793,2891,511,32,42,0,0,0.4139
2025-09-03,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_5,5,MSH0013-Bindura-Zaoga,100%,178,43,0,0,1434,20858,30440,7756,713,584,0,0,0.4536
2025-09-03,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_4,4,MSH0013-Bindura-Zaoga,100%,292,366,0,0,481,1807,14681,46784,28380,4835,0,0,0.3624
2025-09-03,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_3,3,MSH0013-Bindura-Zaoga,100%,36,27,0,0,1427,4692,1063,329,5,2,0,0,0.5287
2025-09-03,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_2,2,MSH0013-Bindura-Zaoga,100%,14,7,0,0,573,15280,26614,8501,551,336,0,0,0.3195
2025-09-03,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_1,1,MSH0013-Bindura-Zaoga,100%,234,57,0,0,1382,1377,11084,30235,21083,4182,0,0,0.382
2025-09-03,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_6,6,MSH-0331-Chiwaridzo 2_LTE,100%,272,3694,0,0,10060,10323,11763,114,209,280,0,0,0.7213
2025-09-03,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_5,5,MSH-0331-Chiwaridzo 2_LTE,100%,792,4637,0,0,11804,6340,4197,4317,246,346,0,0,0.7129
2025-09-03,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_4,4,MSH-0331-Chiwaridzo 2_LTE,100%,1327,4734,0,0,19585,18063,12183,44,0,1,0,0,0.2342
2025-09-03,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_3,3,MSH-0331-Chiwaridzo 2_LTE,100%,374,4821,0,0,10707,11828,12047,111,189,180,0,0,0.6209
2025-09-03,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_2,2,MSH-0331-Chiwaridzo 2_LTE,100%,1327,6549,0,0,12563,6421,5259,5748,42,103,0,0,0.7642
2025-09-03,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_1,1,MSH-0331-Chiwaridzo 2_LTE,100%,1138,5266,0,0,39716,21396,11696,40,4,0,0,0,0.1409
2025-09-03,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_1,1,MSH-0112-Bindura Hospital_LTE,100%,101,626,0,0,1435,2430,1409,86756,98,294,0,0,0.9248
2025-09-03,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_2,2,MSH-0112-Bindura Hospital_LTE,100%,366,238,0,0,1815,7672,5733,14,18,3,0,0,0.4577
2025-09-03,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_3,3,MSH-0112-Bindura Hospital_LTE,100%,502,3555,0,0,11843,15945,3574,1717,1196,371,0,0,0.6904
2025-09-03,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_4,4,MSH-0112-Bindura Hospital_LTE,100%,123,577,0,0,1609,3266,1025,17152,220,350,0,0,0.2856
2025-09-03,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_5,5,MSH-0112-Bindura Hospital_LTE,100%,207,254,0,0,1400,5798,5445,23,44,14,0,0,0.3007
2025-09-03,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_6,6,MSH-0112-Bindura Hospital_LTE,100%,302,2131,0,0,13594,16068,6655,3362,1574,556,0,0,0.66
2025-09-03,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_6,6,MSH-0014-Chipadze,100%,86,425,0,0,1075,4508,5493,1171,533,101,0,0,0.4576
2025-09-03,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_5,5,MSH-0014-Chipadze,100%,338,431,0,0,3734,8844,10594,2525,2004,271,0,0,0.3569
2025-09-03,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_4,4,MSH-0014-Chipadze,100%,34,533,0,0,4246,3536,8084,171,3,3,0,0,0.4548
2025-09-03,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_3,3,MSH-0014-Chipadze,100%,57,851,0,0,2254,4880,5597,1438,330,59,0,0,0.47
2025-09-03,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_2,2,MSH-0014-Chipadze,100%,100,682,0,0,4898,5579,9077,2420,975,213,0,0,0.3772
2025-09-03,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_1,1,MSH-0014-Chipadze,100%,25,680,0,0,3902,3366,8600,144,1,8,0,0,0.6145
2025-09-04,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_6,6,MSH0013-Bindura-Zaoga,100%,108,23,0,0,1272,7758,3084,924,463,34,0,0,0.4984
2025-09-04,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_5,5,MSH0013-Bindura-Zaoga,100%,166,29,0,0,1640,17223,37731,9107,949,527,0,0,0.5002
2025-09-04,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_4,4,MSH0013-Bindura-Zaoga,100%,392,66,0,0,759,2318,15008,33271,21038,5010,0,0,0.3212
2025-09-04,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_3,3,MSH0013-Bindura-Zaoga,100%,17,390,0,0,1399,4223,1445,472,53,52,0,0,0.5426
2025-09-04,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_2,2,MSH0013-Bindura-Zaoga,100%,27,13,0,0,1326,15676,31036,9510,1003,327,0,0,0.2987
2025-09-04,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_1,1,MSH0013-Bindura-Zaoga,100%,197,25,0,0,613,1024,11199,22841,16268,4919,0,0,0.2695
2025-09-04,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_6,6,MSH-0331-Chiwaridzo 2_LTE,100%,178,3214,0,0,10712,12085,11064,110,157,252,0,0,0.7033
2025-09-04,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_5,5,MSH-0331-Chiwaridzo 2_LTE,100%,887,3655,0,0,9770,6243,6161,4915,278,157,0,0,0.713
2025-09-04,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_4,4,MSH-0331-Chiwaridzo 2_LTE,100%,1400,3612,0,0,18221,20093,14060,74,4,13,0,0,0.3631
2025-09-04,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_3,3,MSH-0331-Chiwaridzo 2_LTE,100%,290,5836,0,0,10779,16048,12999,338,250,128,0,0,0.6569
2025-09-04,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_2,2,MSH-0331-Chiwaridzo 2_LTE,100%,960,4826,0,0,12836,7280,5140,5722,106,77,0,0,0.8073
2025-09-04,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_1,1,MSH-0331-Chiwaridzo 2_LTE,100%,1082,5628,0,0,32151,26154,13016,40,2,5,0,0,0.1271
2025-09-04,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_1,1,MSH-0112-Bindura Hospital_LTE,100%,89,569,0,0,911,3132,1008,85662,219,280,0,0,0.9116
2025-09-04,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_2,2,MSH-0112-Bindura Hospital_LTE,100%,636,136,0,0,1136,6811,5450,70,21,9,0,0,0.5931
2025-09-04,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_3,3,MSH-0112-Bindura Hospital_LTE,100%,713,2160,0,0,13543,24075,3708,2819,1689,336,0,0,0.7006
2025-09-04,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_4,4,MSH-0112-Bindura Hospital_LTE,100%,70,351,0,0,781,4494,1220,16847,307,350,0,0,0.7246
2025-09-04,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_5,5,MSH-0112-Bindura Hospital_LTE,100%,326,103,0,0,784,5089,5313,77,81,9,0,0,0.6812
2025-09-04,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_6,6,MSH-0112-Bindura Hospital_LTE,100%,429,1438,0,0,15083,21218,10144,2194,979,532,0,0,0.7013
2025-09-04,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_6,6,MSH-0014-Chipadze,100%,25,321,0,0,1558,3241,6571,1359,515,375,0,0,0.3541
2025-09-04,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_5,5,MSH-0014-Chipadze,100%,36,256,0,0,4175,7928,11514,2745,1469,279,0,0,0.3426
2025-09-04,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_4,4,MSH-0014-Chipadze,100%,35,480,0,0,3816,3307,9545,311,5,8,0,0,0.4708
2025-09-04,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_3,3,MSH-0014-Chipadze,100%,59,499,0,0,2427,4168,6552,645,459,363,0,0,0.6033
2025-09-04,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_2,2,MSH-0014-Chipadze,100%,319,624,0,0,6252,5242,8998,2798,1011,215,0,0,0.3908
2025-09-04,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_1,1,MSH-0014-Chipadze,100%,108,587,0,0,5131,4060,9451,589,6,15,0,0,0.6093
2025-09-05,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_6,6,MSH0013-Bindura-Zaoga,100%,36,16,0,0,864,7942,2382,665,1,23,0,0,0.5199
2025-09-05,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_5,5,MSH0013-Bindura-Zaoga,100%,182,60,0,0,1060,19282,34507,7743,1659,244,0,0,0.5608
2025-09-05,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_4,4,MSH0013-Bindura-Zaoga,100%,269,32,0,0,683,1657,12794,22157,22275,3672,0,0,0.3311
2025-09-05,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_3,3,MSH0013-Bindura-Zaoga,100%,31,7,0,0,1589,6228,816,356,1,3,0,0,0.536
2025-09-05,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_2,2,MSH0013-Bindura-Zaoga,100%,32,5,0,0,1230,14548,26816,4872,1200,398,0,0,0.3971
2025-09-05,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_1,1,MSH0013-Bindura-Zaoga,100%,177,18,0,0,1054,820,12157,19791,16413,4710,0,0,0.3592
2025-09-05,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_6,6,MSH-0331-Chiwaridzo 2_LTE,100%,253,2892,0,0,9445,12521,11596,110,163,225,0,0,0.7252
2025-09-05,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_5,5,MSH-0331-Chiwaridzo 2_LTE,100%,799,2849,0,0,11220,6907,5657,5073,209,153,0,0,0.7421
2025-09-05,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_4,4,MSH-0331-Chiwaridzo 2_LTE,100%,1423,5232,0,0,19611,18549,13372,98,3,2,0,0,0.3437
2025-09-05,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_3,3,MSH-0331-Chiwaridzo 2_LTE,100%,249,4562,0,0,11023,18206,15224,192,258,183,0,0,0.8224
2025-09-05,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_2,2,MSH-0331-Chiwaridzo 2_LTE,100%,497,4797,0,0,12680,17440,5070,5236,31,91,0,0,0.8411
2025-09-05,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_1,1,MSH-0331-Chiwaridzo 2_LTE,100%,894,4555,0,0,35124,23812,13966,41,4,7,0,0,0.1889
2025-09-05,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_1,1,MSH-0112-Bindura Hospital_LTE,100%,179,840,0,0,1408,3336,1256,85563,187,380,0,0,0.949
2025-09-05,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_2,2,MSH-0112-Bindura Hospital_LTE,100%,220,131,0,0,2183,6553,5089,32,11,11,0,0,0.7861
2025-09-05,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_3,3,MSH-0112-Bindura Hospital_LTE,100%,219,2841,0,0,9832,22369,3336,1669,2131,323,0,0,0.8645
2025-09-05,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_4,4,MSH-0112-Bindura Hospital_LTE,100%,101,672,0,0,1012,3557,1116,17653,335,437,0,0,0.7551
2025-09-05,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_5,5,MSH-0112-Bindura Hospital_LTE,100%,27,164,0,0,1391,6283,5910,43,26,10,0,0,0.6957
2025-09-05,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_6,6,MSH-0112-Bindura Hospital_LTE,100%,126,2109,0,0,8780,18182,6840,1780,1420,520,0,0,0.7666
2025-09-05,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_6,6,MSH-0014-Chipadze,100%,71,260,0,0,1904,4897,6621,1222,466,309,0,0,0.4361
2025-09-05,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_5,5,MSH-0014-Chipadze,100%,90,395,0,0,3582,8699,13553,2091,1359,373,0,0,0.3209
2025-09-05,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_4,4,MSH-0014-Chipadze,100%,83,473,0,0,4062,4403,8837,317,3,12,0,0,0.5704
2025-09-05,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_3,3,MSH-0014-Chipadze,100%,72,469,0,0,1418,4031,7388,853,621,298,0,0,0.5379
2025-09-05,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_2,2,MSH-0014-Chipadze,100%,195,632,0,0,6508,6462,10963,2310,1169,338,0,0,0.4561
2025-09-05,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_1,1,MSH-0014-Chipadze,100%,54,414,0,0,3590,4329,7197,360,4,2,0,0,0.6159
2025-09-06,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_6,6,MSH0013-Bindura-Zaoga,100%,110,24,0,0,471,6940,3095,1588,380,102,0,0,0.4567
2025-09-06,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_5,5,MSH0013-Bindura-Zaoga,100%,82,30,0,0,1290,12333,29905,4981,1232,1003,0,0,0.459
2025-09-06,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_4,4,MSH0013-Bindura-Zaoga,100%,155,22,0,0,847,1573,12254,26257,19912,4460,0,0,0.3435
2025-09-06,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_3,3,MSH0013-Bindura-Zaoga,100%,12,15,0,0,1875,5222,612,635,103,21,0,0,0.5726
2025-09-06,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_2,2,MSH0013-Bindura-Zaoga,100%,16,15,0,0,892,11864,25338,3362,1105,780,0,0,0.2519
