site_name,mae_ne_name,first_date,last_date,record_count,cell_count,local_cell_ids,cell_names,total_traffic_gbit,total_traffic_gb,avg_dl_prb_usage,avg_ul_prb_usage,avg_availability,avg_rrc_success,avg_erab_success,avg_call_drop,source
BYO-0036-Kingsdale,BYO-0036-Kingsdale,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Kingsdale_LTE_1|Kingsdale_LTE_2|Kingsdale_LTE_3|Kingsdale_LTE_4|Kingsdale_LTE_5|Kingsdale_LTE_6,8806.0551,1100.7569,17.3549,45.8909,100.0,99.5314,99.7314,0.6591,MAE raw KPI export
BYO-0039-Luveve,BYO-0039-Luveve,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Luveve_LTE_1|Luveve_LTE_2|Luveve_LTE_3|Luveve_LTE_4|Luveve_LTE_5|Luveve_LTE_6,10523.1165,1315.3896,20.585,47.0063,100.0,99.2158,99.6008,1.6935,MAE raw KPI export
BYO-0040-Luveve 2,BYO-0040-Luveve 2,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Luveve 2_LTE_1|Luveve 2_LTE_2|Luveve 2_LTE_3|Luveve 2_LTE_4|Luveve 2_LTE_5|Luveve 2_LTE_6,20760.6042,2595.0755,34.2234,51.2464,100.0,99.3966,99.731,1.4706,MAE raw KPI export
BYO-0041-MacDonald Club,BYO-0041-MacDonald Club,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,MacDonald Club_LTE_1|MacDonald Club_LTE_2|MacDonald Club_LTE_3|MacDonald Club_LTE_4|MacDonald Club_LTE_5|MacDonald Club_LTE_6,1735.2355,216.9044,7.1079,23.8258,100.0,97.7498,98.7515,2.633,MAE raw KPI export
BYO-0042-Magwegwe,BYO-0042-Magwegwe,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,BYO-0042-Magwegwe_LTE_1|BYO-0042-Magwegwe_LTE_2|BYO-0042-Magwegwe_LTE_3|BYO-0042-Magwegwe_LTE_4|BYO-0042-Magwegwe_LTE_5|BYO-0042-Magwegwe_LTE_6,18928.8705,2366.1088,32.6775,55.5521,100.0,99.0092,99.6782,1.3129,MAE raw KPI export
BYO-0044-Mahatshula,BYO-0044-Mahatshula,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Mahatshula_LTE_1|Mahatshula_LTE_2|Mahatshula_LTE_3|Mahatshula_LTE_4|Mahatshula_LTE_5|Mahatshula_LTE_6,29399.0194,3674.8774,40.3865,55.8869,100.0,99.755,99.8562,0.4725,MAE raw KPI export
BYO-0045-Makokoba,BYO-0045-Makokoba,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,BYO-0045-Makokoba_LTE_1|BYO-0045-Makokoba_LTE_2|BYO-0045-Makokoba_LTE_3|BYO-0045-Makokoba_LTE_4|BYO-0045-Makokoba_LTE_5|BYO-0045-Makokoba_LTE_6,16890.633,2111.3291,23.1835,55.6057,100.0,99.6779,99.7936,0.9128,MAE raw KPI export
BYO-0047-Matsheumhlope,BYO-0047-Matsheumhlope,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Matsheumhlope_LTE_1|Matsheumhlope_LTE_2|Matsheumhlope_LTE_3|Matsheumhlope_LTE_4|Matsheumhlope_LTE_5|Matsheumhlope_LTE_6,13214.8697,1651.8587,19.4014,47.668,100.0,99.1721,99.7514,0.5805,MAE raw KPI export
BYO-0048-Matshobana,BYO-0048-Matshobana,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Matshobana_LTE_1|Matshobana_LTE_2|Matshobana_LTE_3|Matshobana_LTE_4|Matshobana_LTE_5|Matshobana_LTE_6,19541.4658,2442.6832,39.5806,51.6245,100.0,99.4646,99.4301,1.1146,MAE raw KPI export
BYO-0049-Metcalfe,BYO-0049-Metcalfe,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Metcalfe_LTE_1|Metcalfe_LTE_2|Metcalfe_LTE_3|Metcalfe_LTE_4|Metcalfe_LTE_5|Metcalfe_LTE_6,3646.6861,455.8358,9.272,35.2602,100.0,98.622,99.6477,1.8376,MAE raw KPI export
BYO-0050-Montrose,BYO-0050-Montrose,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Montrose_LTE_1|Montrose_LTE_2|Montrose_LTE_3|Montrose_LTE_4|Montrose_LTE_5|Montrose_LTE_6,25103.5384,3137.9423,37.7896,58.1725,100.0,98.7293,99.7541,1.0691,MAE raw KPI export
BYO-0051-Mountainview,BYO-0051-Mountainview,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Mountainview_LTE_1|Mountainview_LTE_2|Mountainview_LTE_3|Mountainview_LTE_4|Mountainview_LTE_5|Mountainview_LTE_6,26705.4413,3338.1802,41.0819,56.2681,100.0,99.4726,99.7627,1.0451,MAE raw KPI export
BYO-0053-Mpopoma South,BYO-0053-Mpopoma South,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Mpopoma South_LTE_1|Mpopoma South_LTE_2|Mpopoma South_LTE_3|Mpopoma South_LTE_4|Mpopoma South_LTE_5|Mpopoma South_LTE_6,19579.6265,2447.4533,44.0579,53.351,99.9939,99.7411,99.7197,0.8052,MAE raw KPI export
BYO-0056-Njube,BYO-0056-Njube,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Njube_LTE_1|Njube_LTE_2|Njube_LTE_3|Njube_LTE_4|Njube_LTE_5|Njube_LTE_6,17700.8898,2212.6112,36.5391,51.2594,100.0,99.4638,99.4566,1.6386,MAE raw KPI export
BYO-0058-Nketa,BYO-0058-Nketa,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Nketa_LTE_1|Nketa_LTE_2|Nketa_LTE_3|Nketa_LTE_4|Nketa_LTE_5|Nketa_LTE_6,23816.1021,2977.0128,41.4897,53.2665,100.0,99.4877,99.7481,1.6213,MAE raw KPI export
BYO-0060-Nkulumane,BYO-0060-Nkulumane,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Nkulumane_LTE_1|Nkulumane_LTE_2|Nkulumane_LTE_3|Nkulumane_LTE_4|Nkulumane_LTE_5|Nkulumane_LTE_6,22794.725,2849.3406,34.703,54.8453,100.0,99.5456,99.6787,1.068,MAE raw KPI export
BYO-0061-Nkulumane_2,BYO-0061-Nkulumane_2,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Nkulumane_2_LTE_1|Nkulumane_2_LTE_2|Nkulumane_2_LTE_3|Nkulumane_2_LTE_4|Nkulumane_2_LTE_5|Nkulumane_2_LTE_6,28886.0216,3610.7527,39.7542,57.7395,100.0,99.7668,99.8084,0.5221,MAE raw KPI export
BYO-0062-Northend,BYO-0062-Northend,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Northend_1_LTE_1|Northend_1_LTE_2|Northend_1_LTE_3|Northend_1_LTE_4|Northend_1_LTE_5|Northend_1_LTE_6,18926.1552,2365.7694,33.9197,50.6608,100.0,99.5842,99.8225,1.1166,MAE raw KPI export
BYO-0063-Northend 2,BYO-0063-Northend 2,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Northend_2_LTE_1|Northend_2_LTE_2|Northend_2_LTE_3|Northend_2_LTE_4|Northend_2_LTE_5|Northend_2_LTE_6,11338.8234,1417.3529,24.818,50.2657,99.9996,98.6836,99.6453,1.0718,MAE raw KPI export
BYO-0066-NSSA HOUSE BULAWAYO,BYO-0066-NSSA HOUSE BULAWAYO,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,BYO-0066-NSSA HOUSE BULAWAYO_LTE_1|BYO-0066-NSSA HOUSE BULAWAYO_LTE_2|BYO-0066-NSSA HOUSE BULAWAYO_LTE_3|BYO-0066-NSSA HOUSE BULAWAYO_LTE_4|BYO-0066-NSSA HOUSE BULAWAYO_LTE_5|BYO-0066-NSSA HOUSE BULAWAYO_LTE_6,26634.2005,3329.2751,31.0313,61.2524,100.0,99.6307,99.7666,1.9145,MAE raw KPI export
BYO-0067-NUST,BYO-0067-NUST,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,NUST_LTE_1|NUST_LTE_2|NUST_LTE_3|NUST_LTE_4|NUST_LTE_5|NUST_LTE_6,16397.5568,2049.6946,23.7502,46.434,100.0,98.9757,99.6518,0.9871,MAE raw KPI export
BYO-0068-Paddonhurst,BYO-0068-Paddonhurst,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Paddonhurst_LTE_1|Paddonhurst_LTE_2|Paddonhurst_LTE_3|Paddonhurst_LTE_4|Paddonhurst_LTE_5|Paddonhurst_LTE_6,23344.837,2918.1046,39.4275,52.7189,100.0,99.6319,99.8697,0.714,MAE raw KPI export
BYO-0071-Pelandaba,BYO-0071-Pelandaba,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Pelandaba_LTE_1|Pelandaba_LTE_2|Pelandaba_LTE_3|Pelandaba_LTE_4|Pelandaba_LTE_5|Pelandaba_LTE_6,8069.2198,1008.6525,18.4678,42.8028,100.0,98.9142,99.6791,1.2238,MAE raw KPI export
BYO-0073-Pumula 2,BYO-0073-Pumula 2,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Pumula 2_LTE_1|Pumula 2_LTE_2|Pumula 2_LTE_3|Pumula 2_LTE_4|Pumula 2_LTE_5|Pumula 2_LTE_6,25055.1165,3131.8896,37.1848,55.1409,100.0,99.7595,99.7538,0.6922,MAE raw KPI export
BYO-0074-Pumula South,BYO-0074-Pumula South,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Pumula South_LTE_1|Pumula South_LTE_2|Pumula South_LTE_3|Pumula South_LTE_4|Pumula South_LTE_5|Pumula South_LTE_6,26006.9217,3250.8652,38.577,55.9507,100.0,99.6272,99.7492,0.7263,MAE raw KPI export
BYO-0076-Queens Park,BYO-0076-Queens Park,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Queens Park_LTE_1|Queens Park_LTE_2|Queens Park_LTE_3|Queens Park_LTE_4|Queens Park_LTE_5|Queens Park_LTE_6,19811.59,2476.4488,31.4873,50.6673,100.0,99.1971,99.742,0.7713,MAE raw KPI export
BYO-0078-Bulawayo Rainbow Hotel,BYO-0078-Bulawayo Rainbow Hotel,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,BYO-0078-Bulawayo Rainbow Hotel_LTE_1|BYO-0078-Bulawayo Rainbow Hotel_LTE_2|BYO-0078-Bulawayo Rainbow Hotel_LTE_3|BYO-0078-Bulawayo Rainbow Hotel_LTE_4|BYO-0078-Bulawayo Rainbow Hotel_LTE_5|BYO-0078-Bulawayo Rainbow Hotel_LTE_6,18916.3474,2364.5434,21.5077,56.2255,100.0,99.7024,99.7212,1.5697,MAE raw KPI export
BYO-0081-Richmond,BYO-0081-Richmond,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Richmond_LTE_1|Richmond_LTE_2|Richmond_LTE_3|Richmond_LTE_4|Richmond_LTE_5|Richmond_LTE_6,10851.5772,1356.4471,17.9751,42.6584,100.0,97.964,99.542,1.1756,MAE raw KPI export
BYO-0082-Richmond 2,BYO-0082-Richmond 2,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,BYO-0082-Richmond 2_LTE_1|BYO-0082-Richmond 2_LTE_2|BYO-0082-Richmond 2_LTE_3|BYO-0082-Richmond 2_LTE_4|BYO-0082-Richmond 2_LTE_5|BYO-0082-Richmond 2_LTE_6,2430.0289,303.7536,3.802,17.9838,100.0,98.2296,99.4126,1.5156,MAE raw KPI export
BYO-0086-Thorngrove Industries,BYO-0086-Thorngrove Industries,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Thorngrove Industries_LTE_1|Thorngrove Industries_LTE_2|Thorngrove Industries_LTE_3|Thorngrove Industries_LTE_4|Thorngrove Industries_LTE_5|Thorngrove Industries_LTE_6,2357.8944,294.7368,7.9249,31.15,100.0,98.6527,99.5148,1.8364,MAE raw KPI export
BYO-0087-Tshabalala,BYO-0087-Tshabalala,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Tshabalala_LTE_1|Tshabalala_LTE_2|Tshabalala_LTE_3|Tshabalala_LTE_4|Tshabalala_LTE_5|Tshabalala_LTE_6,21372.1093,2671.5137,33.5604,54.0776,100.0,99.4643,99.7977,0.9455,MAE raw KPI export
BYO-0088-Emganwini,BYO-0088-Emganwini,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Emganwini_LTE_1|Emganwini_LTE_2|Emganwini_LTE_3|Emganwini_LTE_4|Emganwini_LTE_5|Emganwini_LTE_6,21537.9033,2692.2379,31.5394,49.6338,100.0,99.3746,99.7905,1.1493,MAE raw KPI export
BYO-0090-Westgate Uplands,BYO-0090-Westgate Uplands,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Westgate Uplands_LTE_1|Westgate Uplands_LTE_2|Westgate Uplands_LTE_3|Westgate Uplands_LTE_4|Westgate Uplands_LTE_5|Westgate Uplands_LTE_6,10487.843,1310.9804,17.0931,40.4115,100.0,99.2144,99.5663,1.139,MAE raw KPI export
BYO-0092-Jason 55TH,BYO-0092-Jason 55TH,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Jason 55TH_LTE_1|Jason 55TH_LTE_2|Jason 55TH_LTE_3|Jason 55TH_LTE_4|Jason 55TH_LTE_5|Jason 55TH_LTE_6,9683.5141,1210.4393,19.3596,43.5462,100.0,99.7578,99.7953,1.1182,MAE raw KPI export
BYO-0103-Fourwinds,BYO-0103-Fourwinds,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Fourwinds_LTE_1|Fourwinds_LTE_2|Fourwinds_LTE_3|Fourwinds_LTE_4|Fourwinds_LTE_5|Fourwinds_LTE_6,8039.2621,1004.9078,10.6408,44.2429,100.0,98.3353,99.8251,0.4915,MAE raw KPI export
BYO-0136-Cowdray Park 5,BYO-0136-Cowdray Park 5,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,BYO-0136-Cowdray Park 5_LTE_1|BYO-0136-Cowdray Park 5_LTE_2|BYO-0136-Cowdray Park 5_LTE_3|BYO-0136-Cowdray Park 5_LTE_4|BYO-0136-Cowdray Park 5_LTE_5|BYO-0136-Cowdray Park 5_LTE_6,7235.7232,904.4654,8.5712,31.5998,100.0,99.0751,99.7689,1.3299,MAE raw KPI export
BYO-0141-Nkulumane 3,BYO-0141-Nkulumane 3,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,BYO-0141-Nkulumane 3_LTE_1|BYO-0141-Nkulumane 3_LTE_2|BYO-0141-Nkulumane 3_LTE_3|BYO-0141-Nkulumane 3_LTE_4|BYO-0141-Nkulumane 3_LTE_5|BYO-0141-Nkulumane 3_LTE_6,20795.4167,2599.4271,32.4347,51.3057,100.0,99.2994,99.696,1.13,MAE raw KPI export
BYO-0143-Saucetown,BYO-0143-Saucetown,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Saucetown_LTE_1|Saucetown_LTE_2|Saucetown_LTE_3|Saucetown_LTE_4|Saucetown_LTE_5|Saucetown_LTE_6,13635.7288,1704.4661,22.9436,45.571,100.0,99.2759,99.7086,0.8393,MAE raw KPI export
BYO-0155-Killarney 2,BYO-0155-Killarney 2,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Killarney 2_LTE_1|Killarney 2_LTE_2|Killarney 2_LTE_3|Killarney 2_LTE_4|Killarney 2_LTE_5|Killarney 2_LTE_6,19801.3872,2475.1734,25.2651,50.0839,100.0,98.6054,99.7538,0.6717,MAE raw KPI export
BYO-0157-Hillside East,BYO-0157-Hillside East,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,BYO-0157-Hillside East_LTE_1|BYO-0157-Hillside East_LTE_2|BYO-0157-Hillside East_LTE_3|BYO-0157-Hillside East_LTE_4|BYO-0157-Hillside East_LTE_5|BYO-0157-Hillside East_LTE_6,10882.2961,1360.287,16.0314,46.4216,100.0,99.0013,99.7904,0.8583,MAE raw KPI export
BYO-0165-Pumula South 2,BYO-0165-Pumula South 2,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,BYO-0165-Pumula South 2_LTE_1|BYO-0165-Pumula South 2_LTE_2|BYO-0165-Pumula South 2_LTE_3|BYO-0165-Pumula South 2_LTE_4|BYO-0165-Pumula South 2_LTE_5|BYO-0165-Pumula South 2_LTE_6,13456.3625,1682.0453,15.5411,43.4362,100.0,99.6551,99.8008,0.8137,MAE raw KPI export
BYO-0168-Ingutsheni Hospital,BYO-0168-Ingutsheni Hospital,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,BYO-0168-Ingutsheni Hospital_LTE_1|BYO-0168-Ingutsheni Hospital_LTE_2|BYO-0168-Ingutsheni Hospital_LTE_3|BYO-0168-Ingutsheni Hospital_LTE_4|BYO-0168-Ingutsheni Hospital_LTE_5|BYO-0168-Ingutsheni Hospital_LTE_6,7135.7112,891.9639,11.4415,42.6561,100.0,98.8648,99.6592,1.4174,MAE raw KPI export
BYO-0170-Kelvin,BYO-0170-Kelvin,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Kelvin_LTE_1|Kelvin_LTE_2|Kelvin_LTE_3|Kelvin_LTE_4|Kelvin_LTE_5|Kelvin_LTE_6,9052.5801,1131.5725,23.5382,43.4502,100.0,97.4238,99.3983,1.5447,MAE raw KPI export
BYO-0176-Cowdray Park 4,BYO-0176-Cowdray Park 4,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Cowdray Park 4_LTE_1|Cowdray Park 4_LTE_2|Cowdray Park 4_LTE_3|Cowdray Park 4_LTE_4|Cowdray Park 4_LTE_5|Cowdray Park 4_LTE_6,26154.4224,3269.3028,40.9364,57.0377,100.0,99.4964,99.5752,1.0782,MAE raw KPI export
BYO-0215-Bulawayo Scouts Association,BYO-0215-Bulawayo Scouts Association,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,BYO-0215-Bulawayo Scouts Association_LTE_1|BYO-0215-Bulawayo Scouts Association_LTE_2|BYO-0215-Bulawayo Scouts Association_LTE_3|BYO-0215-Bulawayo Scouts Association_LTE_4|BYO-0215-Bulawayo Scouts Association_LTE_5|BYO-0215-Bulawayo Scouts Association_LTE_6,17673.2369,2209.1546,23.2584,56.6702,100.0,99.7411,99.7219,1.6932,MAE raw KPI export
CZA-0001-Zengeza,CZA-0001-Zengeza,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Zengeza_LTE_1|Zengeza_LTE_2|Zengeza_LTE_3|Zengeza_LTE_4|Zengeza_LTE_5|Zengeza_LTE_6,33034.5472,4129.3184,52.9621,55.4338,99.9999,97.8083,99.2761,1.4372,MAE raw KPI export
CZA-0002-Seke,CZA-0002-Seke,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Seke_LTE_1|Seke_LTE_2|Seke_LTE_3|Seke_LTE_4|Seke_LTE_5|Seke_LTE_6,32907.6457,4113.4557,50.2407,52.6126,100.0,97.7018,99.4341,1.6999,MAE raw KPI export
CZA-0003-Nyatsime,CZA-0003-Nyatsime,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Nyatsime_LTE_1|Nyatsime_LTE_2|Nyatsime_LTE_3|Nyatsime_LTE_4|Nyatsime_LTE_5|Nyatsime_LTE_6,28660.6643,3582.583,46.5755,53.0252,100.0,97.0286,99.1861,1.6607,MAE raw KPI export
CZA-0004-Chitungwiza Arts Centre,CZA-0004-Chitungwiza Arts Centre,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,CZA-0004-Chitungwiza Arts Centre_LTE_1|CZA-0004-Chitungwiza Arts Centre_LTE_2|CZA-0004-Chitungwiza Arts Centre_LTE_3|CZA-0004-Chitungwiza Arts Centre_LTE_4|CZA-0004-Chitungwiza Arts Centre_LTE_5|CZA-0004-Chitungwiza Arts Centre_LTE_6,32474.6565,4059.3321,55.2949,54.0642,99.9999,98.4731,99.4513,1.3656,MAE raw KPI export
CZA-0006-St Marys,CZA-0006-St Marys,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,St. Marys_LTE_LTE_1|St. Marys_LTE_LTE_2|St. Marys_LTE_LTE_3|St. Marys_LTE_LTE_4|St. Marys_LTE_LTE_5|St. Marys_LTE_LTE_6,24221.5896,3027.6987,40.6156,53.6284,100.0,98.5151,99.4015,1.2171,MAE raw KPI export
CZA-0007-Seke South,CZA-0007-Seke South,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Seke South_LTE_1|Seke South_LTE_2|Seke South_LTE_3|Seke South_LTE_4|Seke South_LTE_5|Seke South_LTE_6,31400.9683,3925.121,48.4398,54.3641,100.0,99.3492,99.5684,1.0912,MAE raw KPI export
CZA-0008-Seke Teachers College,CZA-0008-Seke Teachers College,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Seke Teachers College_LTE_1|Seke Teachers College_LTE_2|Seke Teachers College_LTE_3|Seke Teachers College_LTE_4|Seke Teachers College_LTE_5|Seke Teachers College_LTE_6,70168.8541,8771.1068,76.3434,83.0311,100.0,98.4384,99.5272,1.2403,MAE raw KPI export
